City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
8,Kahului,US,89.6,20.89,-156.47,scattered clouds,Maui Seaside Hotel
11,Pochutla,MX,87.01,15.74,-96.47,scattered clouds,Hotel Posada San Jose
12,Yellowknife,CA,75.0,62.46,-114.35,broken clouds,The Explorer Hotel
14,Makakilo City,US,87.8,21.35,-158.09,broken clouds,Marriott's Ko Olina Beach Club
18,Georgetown,MY,77.0,5.41,100.34,few clouds,Cititel Penang
27,Guerrero Negro,MX,87.62,27.98,-114.06,clear sky,"Casa Laguna, Bed & Breakfast"
28,Kapaa,US,82.99,22.08,-159.32,overcast clouds,Sheraton Kauai Resort at Coconut Beach
31,Samana,DO,82.4,19.21,-69.34,scattered clouds,The Bannister - Hotel & Yacht Club
32,Buala,SB,83.17,-8.14,159.59,broken clouds,Maringe Lagoon Lodge
35,Ixtapa,MX,89.6,20.7,-105.2,overcast clouds,Container Inn Puerto Vallarta
38,Mae Sai,TH,77.0,20.43,99.88,scattered clouds,Piyaporn Hill Paradise Hotel
39,Itarema,BR,76.95,-2.92,-39.92,clear sky,Windvillage
41,Raton,US,75.2,36.9,-104.44,broken clouds,Holiday Inn Express & Suites Raton
42,Gat,IL,77.0,31.61,34.76,clear sky,רגע בנחת
45,Iralaya,HN,82.8,15.0,-83.23,clear sky,Iglesia morava renovada
51,San Cristobal,VE,84.2,7.77,-72.22,broken clouds,Pirineos
55,Sur,OM,85.33,22.57,59.53,broken clouds,Sur Plaza Hotel
56,Bargur,IN,75.24,12.54,78.35,overcast clouds,Olympic hairdresses
66,Hilo,US,80.6,19.73,-155.09,overcast clouds,Hilo Hawaiian Hotel
74,Pemangkat,ID,75.07,1.17,108.97,scattered clouds,Kost H.Syamsuddin
77,Brazzaville,CG,81.68,-4.27,15.28,broken clouds,Hotel Murex
79,Katsuura,JP,84.2,35.13,140.3,broken clouds,Katsuura Hotel Mikazuki
80,Nouakchott,MR,80.6,18.09,-15.98,clear sky,Hôtel Iman
81,Basco,PH,85.14,20.45,121.97,clear sky,Nathaniel's Lodge
85,Cam Ranh,VN,82.4,11.92,109.16,few clouds,OYO 598 Peony Hotel
89,Sohag,EG,86.0,26.56,31.69,clear sky,Civil Registry - Sohag 1
91,Banjar,ID,78.8,-8.19,114.97,broken clouds,The Hamsa Resort
92,Konstantinovka,RU,75.61,49.62,127.98,clear sky,
95,Eyl,SO,81.57,7.98,49.82,scattered clouds,Amiin Hotel
96,New Ulm,US,79.0,44.31,-94.46,few clouds,Best Western Plus New Ulm
110,Kismayo,SO,78.44,-0.36,42.55,overcast clouds,Agan-Hotel
113,Kloulklubed,PW,78.8,7.04,134.26,broken clouds,Storyboard Beach Resort
118,Dingle,PH,79.54,11.0,122.67,overcast clouds,Camp Pasica
124,Sinnamary,GF,79.47,5.38,-52.95,few clouds,ALETHEIA Appartement Sinnamary
126,Port Blair,IN,82.04,11.67,92.75,overcast clouds,Hotel Sentinel
130,Faya,SA,77.0,18.39,42.45,broken clouds,مقبرة ال مجمل
134,Puerto Madero,MX,82.4,14.72,-92.42,broken clouds,Hotel Perla del Pacífico
135,Barentu,ER,79.54,15.11,37.59,scattered clouds,
143,Kaseda,JP,78.8,31.42,130.32,broken clouds,Sun Stay Kaseda
148,Faanui,PF,78.21,-16.48,-151.75,few clouds,Bora-Bora Pearl Beach Resort & Spa
