City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Arraial Do Cabo,BR,2020-07-11 16:08:47,-22.97,-42.03,78.8,57,0,19.46
1,Kahama,TZ,2020-07-11 16:08:49,-3.83,32.6,76.95,42,89,5.12
2,Yellowknife,CA,2020-07-11 16:08:49,62.46,-114.35,70.0,77,75,3.36
3,Atuona,PF,2020-07-11 16:08:50,-9.8,-139.03,79.93,76,24,20.49
4,Hermanus,ZA,2020-07-11 16:08:50,-34.42,19.23,53.01,70,30,13.24
5,Channel-Port Aux Basques,CA,2020-07-11 16:08:51,47.57,-59.14,60.39,89,97,11.95
6,Vardo,NO,2020-07-11 16:08:51,70.37,31.11,48.79,86,21,12.37
7,Saint-Philippe,RE,2020-07-11 16:08:52,-21.36,55.77,69.8,73,40,14.99
8,Busselton,AU,2020-07-11 16:08:52,-33.65,115.33,46.99,69,0,13.4
9,Jamestown,US,2020-07-11 16:04:48,42.1,-79.24,75.0,88,90,6.93
10,Hirado,JP,2020-07-11 16:08:53,33.36,129.55,73.99,86,100,5.99
11,Haimen,CN,2020-07-11 16:08:54,23.19,116.61,84.2,79,0,8.95
12,Parkersburg,US,2020-07-11 16:08:54,39.27,-81.56,81.0,44,1,14.99
13,Port Macquarie,AU,2020-07-11 16:08:55,-31.43,152.92,51.01,97,99,5.28
14,Kodiak,US,2020-07-11 16:08:55,57.79,-152.41,55.54,81,25,1.86
15,Haines Junction,CA,2020-07-11 16:08:56,60.75,-137.51,51.22,70,100,3.2
16,Parati,BR,2020-07-11 16:04:54,-23.22,-44.71,78.8,44,20,8.05
17,Kapaa,US,2020-07-11 16:08:56,22.08,-159.32,78.8,83,90,12.75
18,Bredasdorp,ZA,2020-07-11 16:08:57,-34.53,20.04,57.2,62,20,8.05
19,Khatanga,RU,2020-07-11 16:08:57,71.97,102.5,51.75,85,77,11.65
20,Sioux Lookout,CA,2020-07-11 16:06:24,50.1,-91.92,60.8,82,90,4.7
21,Bluff,NZ,2020-07-11 16:08:58,-46.6,168.33,50.14,79,100,24.25
22,Mar Del Plata,AR,2020-07-11 16:08:59,-38.0,-57.56,52.0,65,39,2.24
23,Boa Vista,BR,2020-07-11 16:05:41,2.82,-60.67,84.2,70,75,3.36
24,Bosanski Novi,BA,2020-07-11 16:09:00,45.05,16.38,82.24,56,76,12.66
25,Srednekolymsk,RU,2020-07-11 16:09:01,67.45,153.68,53.87,79,0,2.86
26,Nikolskoye,RU,2020-07-11 16:09:01,59.7,30.79,64.4,52,75,15.66
27,Saint-Pierre,RE,2020-07-11 16:09:01,-21.34,55.48,69.8,73,40,14.99
28,Georgetown,MY,2020-07-11 16:08:41,5.41,100.34,80.6,94,20,2.86
29,Nanortalik,GL,2020-07-11 16:09:04,60.14,-45.24,44.69,91,97,10.02
30,Upernavik,GL,2020-07-11 16:09:05,72.79,-56.15,41.7,82,0,6.76
31,Codrington,AU,2020-07-11 16:09:06,-38.27,141.97,47.25,90,87,3.2
32,Punta Arenas,CL,2020-07-11 16:05:02,-53.15,-70.92,35.6,74,40,17.22
33,Alofi,NU,2020-07-11 16:09:07,-19.06,-169.92,73.4,88,35,12.75
34,Upata,VE,2020-07-11 16:09:07,8.01,-62.4,82.0,81,100,5.01
35,Kaitangata,NZ,2020-07-11 16:09:08,-46.28,169.85,51.01,55,100,8.01
36,Ulladulla,AU,2020-07-11 16:09:08,-35.35,150.47,48.2,93,9,10.29
37,Mahebourg,MU,2020-07-11 16:09:08,-20.41,57.7,69.8,77,75,13.87
38,Strezhevoy,RU,2020-07-11 16:09:09,60.73,77.59,68.0,77,96,4.47
39,Albany,US,2020-07-11 16:06:49,42.6,-73.97,86.0,76,58,6.98
40,Vestmannaeyjar,IS,2020-07-11 16:09:10,63.44,-20.27,53.6,81,90,12.75
41,Issenye,TZ,2020-07-11 16:09:11,-2.0,34.33,78.64,37,96,3.24
42,Mataura,NZ,2020-07-11 16:09:12,-46.19,168.86,44.15,93,100,3.2
43,Akcakoca,TR,2020-07-11 16:09:13,41.09,31.12,77.4,66,0,10.16
44,Rikitea,PF,2020-07-11 16:09:13,-23.12,-134.97,68.25,68,29,19.15
45,Rio Grande,BR,2020-07-11 16:09:09,-32.03,-52.1,60.8,63,40,11.41
46,Surt,LY,2020-07-11 16:09:14,31.21,16.59,80.28,64,0,13.67
47,Ushuaia,AR,2020-07-11 16:07:34,-54.8,-68.3,32.0,91,75,3.36
48,Cape Town,ZA,2020-07-11 16:08:07,-33.93,18.42,57.0,62,40,11.41
49,Hithadhoo,MV,2020-07-11 16:09:16,-0.6,73.08,84.65,74,7,10.76
50,Huaiyuan,CN,2020-07-11 16:09:16,32.97,117.2,75.25,94,100,14.14
51,New Norfolk,AU,2020-07-11 16:09:16,-42.78,147.06,45.0,91,48,1.99
52,Gangarampur,IN,2020-07-11 16:09:18,25.4,88.52,83.32,82,95,4.05
53,Asosa,ET,2020-07-11 16:09:19,10.07,34.53,66.45,97,80,1.07
54,Christchurch,NZ,2020-07-11 16:07:41,-43.53,172.63,42.8,81,19,8.05
55,Okato,NZ,2020-07-11 16:09:21,-39.2,173.88,42.01,93,48,1.01
56,Tuatapere,NZ,2020-07-11 16:09:21,-46.13,167.68,45.86,90,100,4.65
57,Beloha,MG,2020-07-11 16:09:21,-25.17,45.05,71.71,57,5,2.33
58,Saint-Francois,FR,2020-07-11 16:09:22,46.42,3.91,78.8,26,0,9.17
59,Bridlington,GB,2020-07-11 16:09:23,54.08,-0.19,64.4,55,76,11.41
60,Tuktoyaktuk,CA,2020-07-11 16:09:24,69.45,-133.04,37.4,100,75,0.94
61,Danville,US,2020-07-11 16:09:20,36.59,-79.39,86.0,43,0,8.68
62,Dikson,RU,2020-07-11 16:09:26,73.51,80.55,42.82,87,85,12.95
63,Coahuayana,MX,2020-07-11 16:09:27,18.73,-103.68,77.0,88,75,2.73
64,Deputatskiy,RU,2020-07-11 16:09:28,69.3,139.9,58.17,63,100,1.88
65,Ambovombe,MG,2020-07-11 16:09:28,-25.17,46.08,71.49,68,0,10.36
66,Zhangjiakou,CN,2020-07-11 16:09:29,40.81,114.88,69.8,79,100,4.83
67,Bilma,NE,2020-07-11 16:09:30,18.69,12.92,106.34,12,40,7.85
68,Saskylakh,RU,2020-07-11 16:09:31,71.92,114.08,63.68,84,70,11.54
69,Hobart,AU,2020-07-11 16:08:38,-42.88,147.33,45.0,87,90,3.36
70,Estelle,US,2020-07-11 16:09:30,29.85,-90.11,91.0,79,75,9.17
71,Zhangye,CN,2020-07-11 16:09:32,38.93,100.45,71.53,36,91,5.23
72,Skegness,GB,2020-07-11 16:09:32,53.14,0.34,64.4,45,40,11.41
73,Prabumulih,ID,2020-07-11 16:07:07,-3.45,104.25,73.36,98,77,2.04
74,Provideniya,RU,2020-07-11 16:09:33,64.38,-173.3,50.77,79,5,4.68
75,Leiyang,CN,2020-07-11 16:09:33,26.4,112.86,80.35,79,100,6.2
76,Salalah,OM,2020-07-11 16:09:33,17.02,54.09,80.6,100,90,6.93
77,Parana,AR,2020-07-11 16:06:48,-31.73,-60.52,60.01,30,6,4.0
78,Inirida,CO,2020-07-11 16:09:35,3.87,-67.92,81.16,88,83,2.35
79,Butaritari,KI,2020-07-11 16:09:35,3.07,172.79,82.35,80,100,13.0
80,Ponta Delgada,PT,2020-07-11 16:09:35,37.73,-25.67,71.6,64,75,8.05
81,Barrow,US,2020-07-11 16:09:36,71.29,-156.79,33.8,86,90,8.05
82,Lagoa,PT,2020-07-11 16:09:36,39.05,-27.98,69.44,76,17,10.71
83,El Alto,PE,2020-07-11 16:09:36,-4.27,-81.21,78.8,69,59,19.46
84,Fairbanks,US,2020-07-11 16:07:42,64.84,-147.72,54.0,76,1,3.36
85,Iqaluit,CA,2020-07-11 16:09:37,63.75,-68.51,37.4,93,90,6.93
86,Qasigiannguit,GL,2020-07-11 16:09:38,68.82,-51.19,46.4,70,40,4.7
87,Karratha,AU,2020-07-11 16:09:39,-20.74,116.85,67.73,29,0,17.07
88,Chokurdakh,RU,2020-07-11 16:09:39,70.63,147.92,44.71,79,17,10.31
89,Takab,IR,2020-07-11 16:09:39,36.4,47.11,71.6,45,56,8.55
90,Fortuna,US,2020-07-11 16:09:40,40.6,-124.16,57.99,100,90,4.7
91,Ust-Ilimsk,RU,2020-07-11 16:09:41,58.0,102.66,53.64,75,12,2.64
92,Mahanoro,MG,2020-07-11 16:09:41,-19.9,48.8,69.55,83,9,7.29
93,Mora,CM,2020-07-11 16:09:42,11.05,14.14,87.8,62,40,8.05
94,Tutoia,BR,2020-07-11 16:09:44,-2.76,-42.27,84.88,66,32,11.25
95,Bulanash,RU,2020-07-11 16:09:46,57.28,62.0,72.18,72,41,7.83
96,Along,IN,2020-07-11 16:09:47,28.17,94.77,73.81,90,100,1.63
97,Vaini,TO,2020-07-11 16:09:48,-21.2,-175.2,69.8,88,40,10.29
98,Dalnegorsk,RU,2020-07-11 16:09:48,44.56,135.57,59.02,82,79,1.95
99,Puerto Ayora,EC,2020-07-11 16:09:11,-0.74,-90.35,69.01,89,100,4.0
100,Dunedin,NZ,2020-07-11 16:09:49,-45.87,170.5,50.0,65,98,1.01
101,Hambantota,LK,2020-07-11 16:09:49,6.12,81.12,80.6,94,40,4.7
102,Ahipara,NZ,2020-07-11 16:09:50,-35.17,173.17,49.98,82,43,3.36
103,Zyryanka,RU,2020-07-11 16:09:53,65.75,150.85,55.45,79,3,3.13
104,Flinders,AU,2020-07-11 16:09:55,-34.58,150.86,48.99,89,99,1.01
105,Fredericksburg,US,2020-07-11 16:09:56,38.3,-77.46,89.6,52,40,9.17
106,Sao Joao Da Barra,BR,2020-07-11 16:09:58,-21.64,-41.05,78.8,61,20,6.93
107,Archidona,ES,2020-07-11 16:09:59,37.1,-4.39,96.01,28,18,1.99
108,Taoudenni,ML,2020-07-11 16:09:59,22.68,-3.98,109.53,18,45,11.5
109,Bathsheba,BB,2020-07-11 16:10:00,13.22,-59.52,87.8,66,40,21.92
110,Jacareacanga,BR,2020-07-11 16:10:02,-6.22,-57.75,93.22,36,0,4.21
111,Qaqortoq,GL,2020-07-11 16:10:03,60.72,-46.03,55.4,76,75,5.82
112,Lazaro Cardenas,MX,2020-07-11 16:10:04,17.96,-102.2,86.74,67,58,4.14
113,Ucluelet,CA,2020-07-11 16:10:04,48.93,-125.55,57.0,93,90,8.05
114,Clyde River,CA,2020-07-11 16:10:05,70.47,-68.59,55.4,58,20,6.93
115,Qaanaaq,GL,2020-07-11 16:10:06,77.48,-69.36,45.25,59,91,3.67
116,Narsaq,GL,2020-07-11 16:10:09,60.92,-46.05,55.4,76,75,5.82
117,Beringovskiy,RU,2020-07-11 16:10:11,63.05,179.32,49.28,81,99,3.94
118,Axim,GH,2020-07-11 16:10:12,4.87,-2.24,78.12,76,59,11.34
119,Vagur,FO,2020-07-11 16:10:13,61.47,-6.81,51.6,96,100,16.75
120,Lichinga,MZ,2020-07-11 16:10:13,-13.31,35.24,61.39,69,3,1.43
121,Nizhniy Novgorod,RU,2020-07-11 16:05:24,56.33,44.0,77.0,38,12,8.95
122,Geraldton,AU,2020-07-11 16:10:15,-28.77,114.6,48.2,41,0,8.05
123,Ilulissat,GL,2020-07-11 16:10:16,69.22,-51.1,46.4,70,40,4.7
124,Qianguo,CN,2020-07-11 16:10:17,45.12,124.86,68.95,75,98,5.86
125,Tripoli,LY,2020-07-11 16:10:18,32.88,13.19,81.05,63,0,13.82
126,Mahmudabad,IN,2020-07-11 16:10:19,27.3,81.12,87.8,89,75,2.26
127,Port Hardy,CA,2020-07-11 16:10:19,50.7,-127.42,53.6,100,90,3.31
128,Hilo,US,2020-07-11 16:10:20,19.73,-155.09,71.6,78,90,3.36
129,Bereda,ES,2020-07-11 16:10:20,43.27,-7.54,66.0,73,6,21.0
130,Saint George,US,2020-07-11 16:07:44,37.1,-113.58,91.0,22,1,3.36
131,Luanda,AO,2020-07-11 16:10:22,-8.84,13.23,73.4,78,90,8.05
132,Esperance,AU,2020-07-11 16:10:23,-33.87,121.9,46.4,87,10,6.93
133,Cabo San Lucas,MX,2020-07-11 16:08:27,22.89,-109.91,89.6,48,20,4.7
134,Chernyshevskiy,RU,2020-07-11 16:10:23,63.01,112.47,60.84,97,13,8.41
135,Conceicao Do Araguaia,BR,2020-07-11 16:10:23,-8.26,-49.26,92.32,37,28,6.46
136,Camapua,BR,2020-07-11 16:10:24,-19.53,-54.04,88.0,24,0,11.88
137,Yarim,YE,2020-07-11 16:10:25,14.3,44.38,69.94,46,87,3.33
138,Thompson,CA,2020-07-11 16:08:35,55.74,-97.86,60.8,77,90,2.24
139,Chumikan,RU,2020-07-11 16:10:27,54.72,135.31,49.6,94,100,5.53
140,Mahajanga,MG,2020-07-11 16:10:27,-15.72,46.32,82.4,45,40,5.82
141,Marsh Harbour,BS,2020-07-11 16:10:28,26.54,-77.06,86.4,67,100,17.38
142,Mwandiga,TZ,2020-07-11 16:10:28,-4.83,29.66,77.36,61,47,3.27
143,Yulara,AU,2020-07-11 16:10:30,-25.24,130.99,41.0,52,0,6.93
144,Rio Tuba,PH,2020-07-11 16:10:32,8.51,117.43,79.29,83,75,3.38
145,Owerri,NG,2020-07-11 16:10:33,5.48,7.03,74.03,93,100,5.82
146,Bambous Virieux,MU,2020-07-11 16:10:33,-20.34,57.76,73.0,77,75,13.87
147,Samarai,PG,2020-07-11 16:10:35,-10.62,150.67,77.72,88,99,14.34
148,Port Lincoln,AU,2020-07-11 16:10:36,-34.73,135.87,52.75,78,35,13.04
149,Tandalti,SD,2020-07-11 16:10:36,13.02,31.87,99.14,25,42,4.07
150,Mandalgovi,MN,2020-07-11 16:10:36,45.76,106.27,66.69,42,0,10.25
151,Oriximina,BR,2020-07-11 16:10:37,-1.77,-55.87,88.68,56,14,6.11
152,Lamar,US,2020-07-11 16:10:37,33.67,-95.58,91.4,66,1,5.82
153,Mae Chan,TH,2020-07-11 16:10:39,20.15,99.85,80.6,94,20,1.66
154,Santa Cruz,BO,2020-07-11 16:10:40,-17.8,-63.17,78.8,69,75,2.24
155,Sal Rei,CV,2020-07-11 16:10:41,16.18,-22.92,84.2,54,75,11.41
156,Makakilo City,US,2020-07-11 16:10:42,21.35,-158.09,78.8,73,75,3.36
157,Avarua,CK,2020-07-11 16:05:53,-21.21,-159.78,73.4,83,100,4.7
158,Castro,BR,2020-07-11 16:10:42,-24.79,-50.01,68.88,63,53,11.68
159,Ostrovnoy,RU,2020-07-11 16:10:43,68.05,39.51,63.09,54,12,9.22
160,Laguna,US,2020-07-11 16:10:45,38.42,-121.42,78.8,49,1,3.36
161,Carnarvon,AU,2020-07-11 16:10:46,-24.87,113.63,55.4,66,0,9.17
162,Bethel,US,2020-07-11 16:10:48,41.37,-73.41,80.01,83,75,10.29
163,Goroka,PG,2020-07-11 16:10:49,-6.08,145.39,58.44,88,97,1.39
164,Bandarbeyla,SO,2020-07-11 16:10:51,9.49,50.81,81.21,68,72,32.64
165,Kaliganj,BD,2020-07-11 16:08:08,23.41,89.14,82.09,89,100,10.29
166,Cidreira,BR,2020-07-11 16:10:56,-30.18,-50.21,57.6,94,100,6.02
167,Port Blair,IN,2020-07-11 16:10:57,11.67,92.75,82.65,80,100,9.35
168,Lebu,CL,2020-07-11 16:10:58,-37.62,-73.65,51.21,80,100,12.86
169,Cayenne,GF,2020-07-11 16:10:59,4.93,-52.33,87.8,62,57,11.41
170,Port Alfred,ZA,2020-07-11 16:11:00,-33.59,26.89,57.04,62,79,24.18
171,Akyab,MM,2020-07-11 16:11:01,20.15,92.9,82.45,84,97,8.19
172,Glendive,US,2020-07-11 16:11:01,47.11,-104.71,73.99,56,1,12.75
173,Vallenar,CL,2020-07-11 16:11:02,-28.57,-70.76,72.72,22,0,3.94
174,Pucallpa,PE,2020-07-11 16:08:01,-8.38,-74.55,78.8,78,75,2.24
175,Umm Kaddadah,SD,2020-07-11 16:11:04,13.6,26.69,89.06,40,19,8.03
176,Savonlinna,FI,2020-07-11 16:11:05,61.87,28.88,55.4,100,90,9.17
177,Daru,PG,2020-07-11 16:10:03,-9.08,143.21,77.05,87,100,14.63
178,Portland,US,2020-07-11 16:07:38,45.52,-122.68,66.0,72,40,1.48
179,Tasiilaq,GL,2020-07-11 16:11:09,65.61,-37.64,46.4,70,20,17.22
180,Takapau,NZ,2020-07-11 16:11:11,-40.03,176.35,48.0,76,71,10.0
181,Whitehorse,CA,2020-07-11 16:07:26,60.72,-135.05,53.01,62,40,11.41
182,Arlit,NE,2020-07-11 16:11:14,18.74,7.39,107.37,11,24,7.52
183,Prince Rupert,CA,2020-07-11 16:11:14,54.32,-130.32,53.6,93,90,4.7
184,San Cristobal,VE,2020-07-11 16:11:14,7.77,-72.22,82.4,65,75,9.17
185,Pizhanka,RU,2020-07-11 16:11:15,57.46,48.54,66.85,71,8,5.08
186,Dwarka,IN,2020-07-11 16:11:16,22.24,68.97,85.03,81,100,21.68
187,Dongdu,CN,2020-07-11 16:11:16,35.85,117.7,70.12,85,100,9.84
188,Coolum Beach,AU,2020-07-11 16:11:17,-26.53,153.1,55.99,98,3,4.79
189,Moose Factory,CA,2020-07-11 16:11:18,51.26,-80.61,60.8,100,90,5.82
190,Grand Gaube,MU,2020-07-11 16:11:19,-20.01,57.66,73.0,65,70,8.99
191,Yumen,CN,2020-07-11 16:11:19,40.28,97.2,70.2,34,5,7.96
192,Oyem,GA,2020-07-11 16:11:20,1.6,11.58,82.4,65,75,2.98
193,Chuy,UY,2020-07-11 16:11:20,-33.7,-53.46,50.9,55,0,7.34
194,Sangmelima,CM,2020-07-11 16:07:04,2.93,11.98,74.62,93,55,3.58
195,Tessalit,ML,2020-07-11 16:11:20,20.2,1.01,102.79,20,78,13.33
196,Cherskiy,RU,2020-07-11 16:11:21,68.75,161.3,46.63,93,44,10.71
197,Andenes,NO,2020-07-11 16:11:22,69.31,16.12,57.2,71,13,5.82
198,Guasdualito,VE,2020-07-11 16:11:23,7.24,-70.73,73.4,94,75,6.93
199,Benjamin Hill,MX,2020-07-11 16:11:23,30.17,-111.1,89.01,49,0,5.01
200,Lozovik,RS,2020-07-11 16:11:23,44.47,21.1,89.01,37,0,1.99
201,Thunder Bay,CA,2020-07-11 16:09:42,48.4,-89.32,71.6,64,75,12.75
202,Chapais,CA,2020-07-11 16:11:27,49.78,-74.85,75.2,83,75,8.05
203,Gamboula,CF,2020-07-11 16:11:28,4.12,15.14,77.79,86,58,2.46
204,Minna,NG,2020-07-11 16:11:31,9.61,6.56,82.4,74,75,8.05
205,Shaki,AZ,2020-07-11 16:11:32,41.08,47.17,86.0,51,44,2.24
206,College,US,2020-07-11 16:11:32,64.86,-147.8,54.0,66,75,3.36
207,Leningradskiy,RU,2020-07-11 16:11:33,69.38,178.42,39.42,78,0,12.41
208,Ramsar,IR,2020-07-11 16:11:33,36.92,50.64,78.8,74,75,2.24
209,Sitka,US,2020-07-11 16:10:50,57.05,-135.33,55.4,87,90,6.93
210,Aklavik,CA,2020-07-11 16:11:37,68.22,-135.01,48.2,87,40,3.36
211,Manzhouli,CN,2020-07-11 16:11:39,49.6,117.43,66.58,74,97,9.17
212,Mount Isa,AU,2020-07-11 16:10:07,-20.73,139.5,62.6,33,51,17.22
213,Yeppoon,AU,2020-07-11 16:11:40,-23.13,150.73,55.4,100,4,0.43
214,Sampit,ID,2020-07-11 16:11:42,-2.53,112.95,74.71,96,100,1.86
215,Bowen,AU,2020-07-11 16:11:43,-20.02,148.23,64.99,93,90,6.4
216,Asau,RO,2020-07-11 16:11:44,46.43,26.4,86.0,35,0,14.99
217,Talnakh,RU,2020-07-11 16:11:45,69.49,88.4,51.8,81,75,17.9
218,Lasa,IT,2020-07-11 16:11:46,46.62,10.7,57.2,76,40,6.93
219,Severo-Kurilsk,RU,2020-07-11 16:11:46,50.68,156.12,50.56,91,100,3.47
220,Vammala,FI,2020-07-11 16:11:48,61.33,22.9,57.2,82,98,9.17
221,Isangel,VU,2020-07-11 16:11:48,-19.55,169.27,69.17,82,24,13.09
222,Villazon,BO,2020-07-11 16:11:49,-22.09,-65.59,50.23,27,0,2.98
223,Kupang,ID,2020-07-11 16:11:50,-10.17,123.58,76.3,81,83,10.58
224,Victoria,HK,2020-07-11 16:11:04,22.29,114.16,86.0,70,52,8.99
225,Coquimbo,CL,2020-07-11 16:11:51,-29.95,-71.34,51.8,93,90,12.75
226,Vao,NC,2020-07-11 16:11:52,-22.67,167.48,69.19,77,54,21.68
227,Haysville,US,2020-07-11 16:11:35,37.56,-97.35,87.01,69,1,10.29
228,Morgan City,US,2020-07-11 16:11:53,29.7,-91.21,90.0,79,40,8.05
229,Puerto Lempira,HN,2020-07-11 16:11:55,15.27,-83.77,87.8,74,40,11.41
230,Gat,IL,2020-07-11 16:11:56,31.61,34.76,84.99,65,0,3.0
231,Yabrud,SY,2020-07-11 16:11:56,33.97,36.66,87.8,38,0,16.11
232,Ratnagiri,IN,2020-07-11 16:11:56,16.98,73.3,81.28,84,99,4.99
233,Khuzhir,RU,2020-07-11 16:11:57,53.19,107.34,56.82,89,98,7.2
234,Banda Aceh,ID,2020-07-11 16:11:58,5.56,95.32,81.14,79,98,6.69
235,Havelock,US,2020-07-11 16:12:00,34.88,-76.9,89.6,55,1,11.41
236,Zlutice,CZ,2020-07-11 16:12:00,50.09,13.16,68.0,45,40,3.36
237,San Patricio,MX,2020-07-11 16:12:01,19.22,-104.7,86.0,74,75,2.55
238,Katsuura,JP,2020-07-11 16:12:01,35.13,140.3,78.8,94,75,19.46
239,Raton,US,2020-07-11 16:12:01,36.9,-104.44,82.4,26,1,12.75
240,Tarauaca,BR,2020-07-11 16:09:02,-8.16,-70.77,89.56,51,42,1.01
241,Wagar,SD,2020-07-11 16:12:04,16.15,36.2,104.85,16,0,6.55
242,Manuk Mangkaw,PH,2020-07-11 16:12:05,4.8,119.85,79.39,81,100,6.96
243,Vila Velha,BR,2020-07-11 16:08:59,-20.33,-40.29,78.01,61,20,6.93
244,Virginia Beach,US,2020-07-11 16:12:07,36.85,-75.98,87.8,58,75,8.05
245,Simiti,CO,2020-07-11 16:12:08,7.96,-73.94,84.42,68,100,1.83
246,Polson,US,2020-07-11 16:12:08,47.69,-114.16,66.0,60,0,1.81
247,Kununurra,AU,2020-07-11 16:12:08,-15.77,128.73,71.6,36,38,8.05
248,Tilichiki,RU,2020-07-11 16:12:09,60.47,166.1,48.07,100,100,2.62
249,Zhongxing,CN,2020-07-11 16:12:09,33.7,118.68,69.87,97,100,13.18
250,Samandag,TR,2020-07-11 16:12:10,36.08,35.98,84.2,62,20,19.46
251,Gorele,TR,2020-07-11 16:12:11,41.03,39.0,77.0,73,75,3.36
252,Oranjemund,NA,2020-07-11 16:12:13,-28.55,16.43,57.22,61,3,11.7
253,Luderitz,NA,2020-07-11 16:12:17,-26.65,15.16,66.2,52,0,12.75
254,Baudh,IN,2020-07-11 16:12:17,20.84,84.32,83.57,71,100,2.37
255,Cockburn Town,TC,2020-07-11 16:09:29,21.46,-71.14,83.37,78,31,19.73
256,Sisimiut,GL,2020-07-11 16:12:18,66.94,-53.67,47.7,70,97,6.85
257,Itapora,BR,2020-07-11 16:12:19,-22.08,-54.79,86.27,33,7,11.56
258,Helena,US,2020-07-11 16:09:05,46.59,-112.04,64.99,59,1,3.36
259,Okhotsk,RU,2020-07-11 16:12:20,59.38,143.3,49.75,93,32,2.75
260,Crib Point,AU,2020-07-11 16:12:20,-38.35,145.2,48.0,96,98,6.69
261,Horizontina,BR,2020-07-11 16:12:22,-27.63,-54.31,62.01,95,96,1.99
262,Hamilton,US,2020-07-11 16:09:29,39.18,-84.53,84.99,48,40,11.41
