City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Hithadhoo,MV,-0.6,73.08,85.19,70,84,6.87,broken clouds,0.0,0
1,Moranbah,AU,-22.0,148.05,57.18,43,1,7.29,clear sky,0.0,0
2,Albany,US,42.6,-73.97,77.0,74,44,3.0,scattered clouds,0.0,0
3,Fort Nelson,CA,58.81,-122.7,48.2,100,75,6.93,fog,0.0,0
4,Katsuura,JP,35.13,140.3,72.0,88,75,10.29,light intensity shower rain,0.0,0
5,Ushuaia,AR,-54.8,-68.3,35.6,80,75,18.34,shower rain,0.0,0
6,Jamestown,US,42.1,-79.24,73.99,73,1,6.02,clear sky,0.0,0
7,Tuktoyaktuk,CA,69.45,-133.04,39.2,100,75,4.7,mist,0.0,0
8,Necochea,AR,-38.55,-58.74,42.01,72,0,7.0,clear sky,0.0,0
9,Barra Do Garcas,BR,-15.89,-52.26,82.4,45,99,4.54,overcast clouds,0.0,0
10,Puri,IN,19.8,85.85,86.0,89,75,13.87,thunderstorm with light rain,0.0,0
11,Key West,US,24.56,-81.78,89.6,66,20,16.11,few clouds,0.0,0
12,Khipro,PK,25.83,69.38,94.59,49,19,24.34,few clouds,0.0,0
13,Grafton,US,42.21,-71.69,79.0,73,75,14.99,broken clouds,0.0,0
14,Chuy,UY,-33.7,-53.46,51.57,58,0,7.0,clear sky,0.0,0
15,Nikolskoye,RU,59.7,30.79,69.01,68,75,8.95,broken clouds,0.0,0
16,Mahebourg,MU,-20.41,57.7,75.2,60,40,18.34,scattered clouds,0.0,0
17,Warrnambool,AU,-38.38,142.48,48.0,94,0,5.82,clear sky,0.0,0
18,Atuona,PF,-9.8,-139.03,79.61,77,31,21.99,light rain,0.28,0
19,Marfino,RU,55.7,37.38,84.2,57,75,11.18,broken clouds,0.0,0
20,Samarai,PG,-10.62,150.67,79.32,85,64,16.8,moderate rain,3.77,0
21,Coquimbo,CL,-29.95,-71.34,51.8,71,46,4.7,scattered clouds,0.0,0
22,West Wendover,US,40.74,-114.07,84.2,7,1,11.41,clear sky,0.0,0
23,Taoudenni,ML,22.68,-3.98,108.93,17,55,4.54,broken clouds,0.0,0
24,Busselton,AU,-33.65,115.33,57.0,69,100,18.61,light rain,0.44,0
25,Ponta Do Sol,PT,32.67,-17.1,75.99,62,0,1.43,clear sky,0.0,0
26,Lagoa,PT,39.05,-27.98,68.31,79,0,16.91,clear sky,0.0,0
27,Port Alfred,ZA,-33.59,26.89,65.37,35,0,12.71,clear sky,0.0,0
28,Evensk,RU,61.95,159.23,54.25,88,68,1.92,broken clouds,0.0,0
29,Arak,IR,34.09,49.69,89.28,12,31,19.77,scattered clouds,0.0,0
30,Rikitea,PF,-23.12,-134.97,70.77,72,0,18.32,clear sky,0.0,0
31,Punta Arenas,CL,-53.15,-70.92,32.0,87,20,5.82,few clouds,0.0,0
32,Hurghada,EG,27.26,33.81,100.4,19,0,18.34,clear sky,0.0,0
33,Xichang,CN,27.9,102.26,69.03,76,100,3.06,overcast clouds,0.0,0
34,Tasiilaq,GL,65.61,-37.64,44.6,75,64,6.93,broken clouds,0.0,0
35,Vila Franca Do Campo,PT,37.72,-25.43,73.4,60,75,10.29,broken clouds,0.0,0
36,Mataura,NZ,-46.19,168.86,39.0,83,58,3.0,broken clouds,0.0,0
37,Gorontalo,ID,0.54,123.06,74.89,89,48,2.64,light rain,0.16,0
38,Kautokeino,NO,69.01,23.04,60.64,51,83,11.14,light rain,0.35,0
39,Nuuk,GL,64.18,-51.72,46.4,81,75,8.05,broken clouds,0.0,0
40,Paracuru,BR,-3.41,-39.03,84.0,59,10,5.01,clear sky,0.0,0
41,Tabou,CI,4.42,-7.35,79.83,68,80,7.58,broken clouds,0.0,0
42,Dingle,PH,11.0,122.67,78.35,86,100,1.63,overcast clouds,0.0,0
43,Teya,RU,60.38,92.63,62.2,78,100,3.69,overcast clouds,0.0,0
44,Qaanaaq,GL,77.48,-69.36,45.93,59,95,0.96,overcast clouds,0.0,0
45,Faya,SA,18.39,42.45,87.8,25,40,10.29,scattered clouds,0.0,0
46,Nidzica,PL,53.36,20.43,64.4,52,20,8.05,few clouds,0.0,0
47,Vaini,TO,-21.2,-175.2,71.6,78,40,11.41,scattered clouds,0.0,0
48,Bad Krozingen,DE,47.92,7.7,80.01,35,2,7.0,clear sky,0.0,0
49,Khatanga,RU,71.97,102.5,52.48,90,100,15.35,light rain,0.17,0
50,Norman Wells,CA,65.28,-126.83,51.8,93,90,5.82,light rain,0.0,0
51,Bluff,NZ,-46.6,168.33,39.0,83,36,3.0,scattered clouds,0.0,0
52,Oistins,BB,13.07,-59.53,86.0,74,75,18.34,shower rain,0.0,0
53,Lufilufi,WS,-13.87,-171.6,77.0,100,1,17.02,light rain,0.69,0
54,Dubrovytsya,UA,51.57,26.57,53.01,90,100,7.99,overcast clouds,0.0,0
55,Parrita,CR,9.52,-84.32,72.0,73,45,6.93,light rain,0.65,0
56,Sochi,RU,43.6,39.73,84.2,66,75,13.42,broken clouds,0.0,0
57,Saskylakh,RU,71.92,114.08,64.24,62,72,21.09,broken clouds,0.0,0
58,Kapaa,US,22.08,-159.32,78.8,74,40,18.34,scattered clouds,0.0,0
59,Klaksvik,FO,62.23,-6.59,51.8,100,90,9.17,overcast clouds,0.0,0
60,New Norfolk,AU,-42.78,147.06,37.0,89,6,0.96,clear sky,0.0,0
61,Vostok,RU,46.49,135.88,58.08,94,73,2.89,broken clouds,0.0,0
62,Airai,TL,-8.93,125.41,57.27,100,100,4.12,overcast clouds,0.0,0
63,Stara Pazova,RS,44.98,20.16,69.8,56,40,9.17,scattered clouds,0.0,0
64,Hilo,US,19.73,-155.09,75.2,73,90,3.36,overcast clouds,0.0,0
65,Pevek,RU,69.7,170.31,47.39,86,99,5.17,overcast clouds,0.0,0
66,Cape Town,ZA,-33.93,18.42,66.0,45,0,16.11,clear sky,0.0,0
67,Leshukonskoye,RU,64.9,45.76,57.27,79,100,14.54,overcast clouds,0.0,0
68,Longyearbyen,SJ,78.22,15.64,46.4,81,75,9.17,broken clouds,0.0,0
69,Hermanus,ZA,-34.42,19.23,64.99,45,0,1.01,clear sky,0.0,0
70,Urengoy,RU,65.97,78.37,65.05,50,36,3.58,scattered clouds,0.0,0
71,Sao Felix Do Xingu,BR,-6.64,-51.99,88.84,46,75,3.83,broken clouds,0.0,0
72,Pacific Grove,US,36.62,-121.92,55.99,87,1,5.61,clear sky,0.0,0
73,Port Elizabeth,ZA,-33.92,25.57,68.0,30,0,13.87,clear sky,0.0,0
74,Kavieng,PG,-2.57,150.8,82.94,69,100,3.69,overcast clouds,0.0,0
75,Jiaojiang,CN,28.68,121.44,82.99,55,99,5.59,light rain,0.18,0
76,Igarka,RU,67.47,86.58,61.21,62,39,3.96,scattered clouds,0.0,0
77,Ribeira Grande,PT,38.52,-28.7,73.4,73,40,12.75,scattered clouds,0.0,0
78,Santo Antonio Do Ica,BR,-3.1,-67.94,75.13,97,100,2.84,moderate rain,1.99,0
79,Severo-Kurilsk,RU,50.68,156.12,49.33,91,100,8.41,overcast clouds,0.0,0
80,College,US,64.86,-147.8,52.0,71,75,4.7,broken clouds,0.0,0
81,Saint George,US,37.1,-113.58,80.01,27,1,4.07,clear sky,0.0,0
82,Port Blair,IN,11.67,92.75,80.83,79,100,9.19,overcast clouds,0.0,0
83,Yellowknife,CA,62.46,-114.35,62.01,87,40,4.7,scattered clouds,0.0,0
84,Butaritari,KI,3.07,172.79,83.25,79,85,14.94,light rain,0.38,0
85,Bathsheba,BB,13.22,-59.52,86.0,74,75,18.34,shower rain,0.0,0
86,Berlevag,NO,70.86,29.09,49.14,82,19,5.53,few clouds,0.0,0
87,Fortuna,US,40.6,-124.16,52.0,100,2,3.36,clear sky,0.0,0
88,Labuhan,ID,-6.88,112.21,80.01,79,96,7.2,overcast clouds,0.0,0
89,Puerto Ayora,EC,-0.74,-90.35,66.0,96,49,5.66,scattered clouds,0.0,0
90,Cherskiy,RU,68.75,161.3,47.68,96,99,3.8,overcast clouds,0.0,0
91,Shubarshi,KZ,48.59,57.19,99.03,18,61,5.61,broken clouds,0.0,0
92,Bumbuna,SL,9.05,-11.73,77.32,89,97,4.16,moderate rain,1.19,0
93,Rocha,UY,-34.48,-54.33,51.44,62,46,12.95,scattered clouds,0.0,0
94,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,66.25,70,0,5.21,clear sky,0.0,0
95,Taksimo,RU,56.34,114.88,73.11,52,97,4.29,overcast clouds,0.0,0
96,Kodiak,US,57.79,-152.41,55.4,76,90,4.7,overcast clouds,0.0,0
97,Hobart,AU,-42.88,147.33,39.0,93,20,4.7,light rain,0.25,0
98,Zhuji,CN,29.72,120.24,89.6,62,100,6.71,overcast clouds,0.0,0
99,Shache,CN,38.42,77.24,85.23,18,100,5.86,overcast clouds,0.0,0
100,Bredasdorp,ZA,-34.53,20.04,66.2,37,0,12.75,clear sky,0.0,0
101,Cabo San Lucas,MX,22.89,-109.91,81.0,61,75,9.66,broken clouds,0.0,0
102,Lasa,IT,46.62,10.7,73.99,37,5,6.93,clear sky,0.0,0
103,Talnakh,RU,69.49,88.4,59.0,72,100,6.71,light rain,0.18,0
104,Lebu,CL,-37.62,-73.65,48.78,94,100,3.29,light rain,0.18,0
105,Ancud,CL,-41.87,-73.82,36.0,68,97,4.7,overcast clouds,0.0,0
106,Nanortalik,GL,60.14,-45.24,46.83,78,99,9.64,overcast clouds,0.0,0
107,Kindu,CD,-2.95,25.95,91.74,40,83,0.89,broken clouds,0.0,0
108,Saint-Philippe,RE,-21.36,55.77,75.2,69,60,3.36,light rain,0.21,0
109,Am Timan,TD,11.03,20.28,88.68,53,3,7.72,clear sky,0.0,0
110,Mar Del Plata,AR,-38.0,-57.56,44.01,52,0,13.87,clear sky,0.0,0
